file_name	collection_name	collection_id	selectable	custom_coverage	open_access	collection_url	record_count
degruyter_global_JPBCG21_2021-12-06.txt	Journal Package Biology, Chemistry, Geosciences 2021	JPBCG21	yes	no	no		24
degruyter_global_JPBCG22_2021-12-06.txt	Journal Package Biology, Chemistry, Geosciences 2022	JPBCG22	yes	no	no		28
degruyter_global_JPCH21_2021-12-06.txt	Journal Package Classical Studies, History 2021	JPCH21	yes	no	no		33
degruyter_global_JPCH22_2021-12-06.txt	Journal Package Classical Studies, History 2022	JPCH22	yes	no	no		31
degruyter_global_JPLAW21_2021-12-06.txt	Journal Package Law 2021	JPLAW21	yes	no	no		45
degruyter_global_JPLAW22_2021-12-06.txt	Journal Package Law 2022	JPLAW22	yes	no	no		45
degruyter_global_JPLIS21_2021-12-06.txt	Journal Package Library and Information Science, Library Reference 2021	JPLIS21	yes	no	no		9
degruyter_global_JPLIS22_2021-12-06.txt	Journal Package Library and Information Science, Library Reference 2022	JPLIS22	yes	no	no		9
degruyter_global_JPLL21_2021-12-06.txt	Journal Package Linguistics, Literature 2021	JPLL21	yes	no	no		84
degruyter_global_JPLL22_2021-12-06.txt	Journal Package Linguistics, Literature 2022	JPLL22	yes	no	no		84
degruyter_global_JPMED21_2021-12-06.txt	Journal Package Medicine 2021	JPMED21	yes	no	no		21
degruyter_global_JPMED22_2021-12-06.txt	Journal Package Medicine 2022	JPMED22	yes	no	no		20
degruyter_global_JPMPE21_2021-12-06.txt	Journal Package Mathematics, Physics, Engineering 2021	JPMPE21	yes	no	no		39
degruyter_global_JPMPE22_2021-12-06.txt	Journal Package Mathematics, Physics, Engineering 2022	JPMPE22	yes	no	no		39
degruyter_global_JPPES21_2021-12-06.txt	Journal Package Politics, Economics, Sociology 2021	JPPES21	yes	no	no		50
degruyter_global_JPPES22_2021-12-06.txt	Journal Package Politics, Economics, Sociology 2022	JPPES22	yes	no	no		49
degruyter_global_JPPTJ21_2021-12-06.txt	Journal Package Philosophy, Theology, Judaism, Religion 2021	JPPTJ21	yes	no	no		42
degruyter_global_JPPTJ22_2021-12-06.txt	Journal Package Philosophy, Theology, Judaism, Religion 2022	JPPTJ22	yes	no	no		46
degruyter_global_LBDG2022_2021-12-06.txt	Law by De Gruyter 2022	LBDG2022	yes	no	no		20
degruyter_global_MLSBDG2022_2021-12-06.txt	MLSBDG2022	MLSBDG2022	yes	no	no		33
degruyter_global_OCUL2021_2021-12-06.txt	OCUL2021	OCUL2021	yes	no	no		146
degruyter_global_OCUL2022_2021-12-06.txt	OCUL2022	OCUL2022	yes	no	no		145
degruyter_global_RN2021_2021-12-06.txt	Research Now 2021	RN2021	yes	no	no		58
degruyter_global_RN2022_2021-12-06.txt	Research Now 2022	RN2022	yes	no	no		57
degruyter_global_RNBDG2021_2021-12-06.txt	Research Now by De Gruyter 2021	RNBDG2021	yes	no	no		302
degruyter_global_RNBDGLAW2021_2021-12-06.txt	Research Now by De Gruyter Law 2021	RNBDGLAW2021	yes	no	no		20
degruyter_global_RNBDGMLS2021_2021-12-06.txt	Research Now by De Gruyter Medical & Life Sciences 2021	RNBDGMLS2021	yes	no	no		34
degruyter_global_journals_2021-12-06.txt	De Gruyter journals	journals	yes	no	no		1014
degruyter_global_oaejournals_2021-12-06.txt	De Gruyter Open Access journals	oaejournals	yes	no	yes		587
